,Team,Elo,Standardized Elo,Season
0,1102,1468.8524313,0.39237635618,2003
1,1103,1493.79554868,0.447386088989,2003
2,1104,1547.95272806,0.566824727011,2003
3,1105,1368.40135565,0.170840822004,2003
4,1106,1456.6209782,0.365401020382,2003
5,1107,1377.87647601,0.191737321497,2003
6,1108,1467.0495861,0.38840034824,2003
7,1110,1523.51174506,0.512922405021,2003
8,1111,1524.08132122,0.514178552431,2003
9,1112,1689.13005751,0.878178238048,2003
10,1113,1569.15173073,0.613577161956,2003
11,1114,1527.64426247,0.522036289026,2003
12,1115,1338.78673496,0.105528521769,2003
13,1116,1446.4965907,0.343072622423,2003
14,1117,1471.72384376,0.398708990138,2003
15,1119,1328.10002529,0.081959974383,2003
16,1120,1570.57694139,0.616720331929,2003
17,1122,1613.03676982,0.710361546941,2003
18,1123,1466.95870909,0.388199927422,2003
19,1124,1509.39885363,0.481797731429,2003
20,1125,1528.42277154,0.523753218591,2003
21,1126,1372.51651611,0.179916426871,2003
22,1127,1489.96964344,0.438948409698,2003
23,1128,1555.20985676,0.582829651523,2003
24,1129,1460.24937816,0.373403120102,2003
25,1130,1582.00929448,0.641933326732,2003
26,1131,1573.06331343,0.622203794955,2003
27,1132,1464.39647519,0.382549158102,2003
28,1133,1452.55641838,0.356437010548,2003
29,1135,1561.74619744,0.597244944878,2003
30,1137,1479.010949,0.41478002514,2003
31,1138,1357.60012023,0.147019698725,2003
32,1139,1643.29183396,0.777086285831,2003
33,1140,1628.78177645,0.745085699275,2003
34,1141,1648.00974273,0.787491196211,2003
35,1142,1515.85866486,0.496044246184,2003
36,1143,1596.97237918,0.674933022768,2003
37,1144,1331.58462218,0.0896449297471,2003
38,1145,1425.85936549,0.297559135565,2003
39,1147,1449.35080271,0.349367322378,2003
40,1148,1494.5382737,0.449024100165,2003
41,1149,1466.88232805,0.388031476108,2003
42,1150,1494.94815908,0.449928064376,2003
43,1151,1568.21691713,0.611515517247,2003
44,1152,1290.93683331,0.0,2003
45,1153,1557.19411218,0.587205742883,2003
46,1154,1353.06923804,0.137027258111,2003
